epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,519.198,0.55968,0.24049,0.84456,0.9984,1,0.995,0.89345,0.54498,0.18025,0.88159,0.00159212,0.00159212,0.00159212
105,524.213,0.56165,0.23922,0.84882,0.9985,1,0.995,0.92662,0.45667,0.18712,0.86805,0.00158816,0.00158816,0.00158816
106,529.052,0.55559,0.23706,0.83849,0.99808,1,0.995,0.92175,0.48512,0.198,0.8735,0.0015842,0.0015842,0.0015842
107,534.066,0.56309,0.23343,0.83532,0.9988,1,0.995,0.93052,0.4958,0.18665,0.87929,0.00158024,0.00158024,0.00158024
108,539.041,0.54636,0.22604,0.85039,0.9978,1,0.995,0.93146,0.49182,0.19147,0.87708,0.00157628,0.00157628,0.00157628
109,544.027,0.55541,0.23347,0.85307,0.99866,1,0.995,0.9165,0.50682,0.17739,0.88148,0.00157232,0.00157232,0.00157232
110,548.83,0.54384,0.22986,0.83655,0.99877,1,0.995,0.92004,0.45136,0.18555,0.86833,0.00156836,0.00156836,0.00156836
111,553.664,0.54629,0.23126,0.83742,0.99818,1,0.995,0.90841,0.52311,0.19749,0.87973,0.0015644,0.0015644,0.0015644
112,558.569,0.56535,0.23461,0.84691,0.99839,1,0.995,0.91499,0.47295,0.19103,0.87019,0.00156044,0.00156044,0.00156044
113,563.612,0.52644,0.22709,0.84213,0.99874,1,0.995,0.93929,0.47938,0.18601,0.86821,0.00155648,0.00155648,0.00155648
114,568.529,0.53258,0.23663,0.84018,0.99863,1,0.995,0.9322,0.47433,0.18697,0.86874,0.00155252,0.00155252,0.00155252
115,573.42,0.55401,0.23043,0.83878,0.99878,1,0.995,0.9216,0.46019,0.16704,0.87063,0.00154856,0.00154856,0.00154856
116,578.524,0.54409,0.23252,0.83996,0.99829,1,0.995,0.92654,0.49704,0.18065,0.87895,0.0015446,0.0015446,0.0015446
117,583.437,0.56602,0.23458,0.84966,0.99844,1,0.995,0.93,0.51105,0.18947,0.88135,0.00154064,0.00154064,0.00154064
118,588.307,0.56169,0.23956,0.84473,0.99806,1,0.995,0.88281,0.60376,0.21782,0.90505,0.00153668,0.00153668,0.00153668
119,593.313,0.55496,0.22896,0.84319,0.99797,1,0.995,0.90731,0.52138,0.20784,0.88253,0.00153272,0.00153272,0.00153272
120,598.23,0.55709,0.23381,0.84163,0.99826,1,0.995,0.9038,0.58334,0.20612,0.88948,0.00152876,0.00152876,0.00152876
121,603.305,0.59775,0.23965,0.84713,0.9988,1,0.995,0.90402,0.5172,0.1808,0.8754,0.0015248,0.0015248,0.0015248
122,608.083,0.5382,0.22859,0.83449,0.99866,1,0.995,0.91546,0.53338,0.1703,0.87919,0.00152084,0.00152084,0.00152084
123,613.071,0.5756,0.22202,0.86719,0.99809,1,0.995,0.91019,0.5087,0.17692,0.87245,0.00151688,0.00151688,0.00151688
124,617.985,0.55129,0.22244,0.84469,0.99883,1,0.995,0.92464,0.45219,0.17502,0.8621,0.00151292,0.00151292,0.00151292
125,623.05,0.54659,0.23475,0.83489,0.99796,1,0.995,0.92227,0.48641,0.18277,0.87364,0.00150896,0.00150896,0.00150896
126,627.861,0.53412,0.21625,0.84622,0.99879,1,0.995,0.91887,0.48117,0.19069,0.86786,0.001505,0.001505,0.001505
127,632.781,0.54239,0.22624,0.83158,0.99873,1,0.995,0.92408,0.53691,0.17618,0.88285,0.00150104,0.00150104,0.00150104
128,637.692,0.52474,0.22169,0.82777,0.99882,1,0.995,0.9133,0.49876,0.17049,0.87316,0.00149708,0.00149708,0.00149708
129,642.614,0.54866,0.22274,0.84864,0.99849,1,0.995,0.91622,0.52454,0.17959,0.87882,0.00149312,0.00149312,0.00149312
130,647.436,0.55048,0.22108,0.8278,0.99837,1,0.995,0.90607,0.50868,0.18019,0.87684,0.00148916,0.00148916,0.00148916
131,652.465,0.54583,0.22942,0.8552,0.99884,1,0.995,0.91035,0.53949,0.17366,0.89333,0.0014852,0.0014852,0.0014852
132,657.338,0.54386,0.22233,0.84707,0.99887,1,0.995,0.91666,0.50667,0.17427,0.88229,0.00148124,0.00148124,0.00148124
